# ATRAN - Infrared sky transmission
# Mauna Kea for airmass=1 and 3mm PWV
# Lambda[m] Transmission
8.999999999999999593e-07 9.400899999999999812e-01
9.004999999999998910e-07 9.319800000000000306e-01
9.010000000000000344e-07 9.374099999999999655e-01
9.014999999999999661e-07 9.367400000000000171e-01
9.020000000000000037e-07 9.319199999999999706e-01
9.024999999999999353e-07 9.359300000000000397e-01
9.029999999999999729e-07 9.495500000000000052e-01
9.034999999999999046e-07 9.744000000000000439e-01
9.039999999999999422e-07 9.843800000000000328e-01
9.044999999999999797e-07 9.818200000000000260e-01
9.050000000000000173e-07 9.828200000000000269e-01
9.054999999999999490e-07 9.802300000000000457e-01
9.059999999999999865e-07 9.762300000000000422e-01
9.064999999999999182e-07 9.611699999999999688e-01
9.069999999999999558e-07 9.348300000000000498e-01
9.074999999999998875e-07 9.261399999999999633e-01
9.080000000000000309e-07 9.374700000000000255e-01
9.084999999999999626e-07 9.395200000000000218e-01
9.090000000000000002e-07 9.459199999999999831e-01
9.094999999999999318e-07 9.521100000000000119e-01
9.099999999999999694e-07 9.466900000000000315e-01
9.104999999999999011e-07 9.411300000000000221e-01
9.109999999999999387e-07 9.492800000000000127e-01
9.114999999999999762e-07 9.626400000000000512e-01
9.120000000000000138e-07 9.526099999999999568e-01
9.124999999999999455e-07 9.549299999999999455e-01
9.129999999999999830e-07 9.416099999999999470e-01
9.134999999999999147e-07 9.193799999999999750e-01
9.139999999999999523e-07 9.317499999999999671e-01
9.144999999999999899e-07 9.634399999999999631e-01
9.150000000000000274e-07 9.579900000000000082e-01
9.154999999999999591e-07 9.197100000000000275e-01
9.159999999999999967e-07 9.257199999999999873e-01
9.164999999999999284e-07 9.624899999999999567e-01
9.169999999999999659e-07 9.641399999999999970e-01
9.174999999999998976e-07 9.381500000000000394e-01
9.180000000000000410e-07 9.388800000000000479e-01
9.184999999999999727e-07 9.583500000000000352e-01
9.190000000000000103e-07 9.701800000000000423e-01
9.194999999999999420e-07 9.718200000000000172e-01
9.199999999999999795e-07 9.758599999999999497e-01
9.204999999999999112e-07 9.863199999999999745e-01
9.209999999999999488e-07 9.841999999999999638e-01
9.214999999999999864e-07 9.769400000000000306e-01
9.220000000000000239e-07 9.748999999999999888e-01
9.224999999999999556e-07 9.819799999999999640e-01
9.229999999999999932e-07 9.838200000000000278e-01
9.234999999999999249e-07 9.806000000000000272e-01
9.239999999999999624e-07 9.764199999999999546e-01
9.244999999999998941e-07 9.737999999999999989e-01
9.250000000000000376e-07 9.734199999999999520e-01
9.254999999999999692e-07 9.784000000000000474e-01
9.260000000000000068e-07 9.800400000000000222e-01
9.264999999999999385e-07 9.806599999999999762e-01
9.269999999999999761e-07 9.841999999999999638e-01
9.274999999999999077e-07 9.721600000000000241e-01
9.280000000000000512e-07 9.489300000000000512e-01
9.284999999999999829e-07 9.404700000000000282e-01
9.290000000000000204e-07 9.388900000000000023e-01
9.294999999999999521e-07 9.232799999999999896e-01
9.299999999999999897e-07 8.958500000000000352e-01
9.304999999999999214e-07 8.784300000000000441e-01
9.309999999999999589e-07 8.536799999999999944e-01
9.314999999999999965e-07 8.164500000000000091e-01
9.320000000000000341e-07 7.719500000000000250e-01
9.324999999999999657e-07 7.575499999999999456e-01
9.330000000000000033e-07 7.649399999999999533e-01
9.334999999999999350e-07 7.502199999999999980e-01
9.339999999999999726e-07 6.975400000000000489e-01
9.344999999999999042e-07 6.566300000000000470e-01
9.350000000000000477e-07 7.199100000000000499e-01
9.354999999999999794e-07 7.285000000000000364e-01
9.360000000000000169e-07 6.954299999999999926e-01
9.364999999999999486e-07 7.450599999999999445e-01
9.369999999999999862e-07 7.249400000000000288e-01
9.374999999999999179e-07 7.211600000000000232e-01
9.379999999999998496e-07 7.342600000000000238e-01
9.384999999999999930e-07 7.520299999999999763e-01
9.389999999999999247e-07 8.267799999999999594e-01
9.394999999999999623e-07 9.030899999999999483e-01
9.399999999999998939e-07 9.048599999999999977e-01
9.404999999999999315e-07 8.848899999999999544e-01
9.409999999999998632e-07 8.706899999999999640e-01
9.415000000000000066e-07 8.632600000000000273e-01
9.419999999999999383e-07 8.672800000000000509e-01
9.424999999999999759e-07 8.276999999999999913e-01
9.429999999999999076e-07 7.617899999999999672e-01
9.434999999999999451e-07 7.937999999999999501e-01
9.439999999999998768e-07 7.514899999999999913e-01
9.444999999999999144e-07 7.219200000000000061e-01
9.449999999999999519e-07 8.218199999999999950e-01
9.454999999999999895e-07 8.255900000000000460e-01
9.459999999999999212e-07 7.674100000000000366e-01
9.464999999999999588e-07 7.896300000000000541e-01
9.469999999999998904e-07 8.393800000000000150e-01
9.474999999999999280e-07 8.465599999999999792e-01
9.479999999999998597e-07 8.127499999999999725e-01
9.485000000000000031e-07 8.099499999999999478e-01
9.489999999999999348e-07 8.709200000000000275e-01
9.494999999999999724e-07 8.169100000000000250e-01
9.499999999999999041e-07 7.374699999999999589e-01
9.504999999999999416e-07 7.801799999999999846e-01
9.509999999999998733e-07 8.837500000000000355e-01
9.515000000000000168e-07 8.827599999999999891e-01
9.519999999999999484e-07 8.060000000000000497e-01
9.524999999999999860e-07 7.904200000000000115e-01
9.529999999999999177e-07 8.396900000000000475e-01
9.534999999999999553e-07 8.770900000000000363e-01
9.539999999999998869e-07 8.657399999999999540e-01
9.544999999999999245e-07 8.298499999999999766e-01
9.549999999999999621e-07 8.404700000000000504e-01
9.554999999999999996e-07 8.448400000000000354e-01
9.559999999999998254e-07 8.397599999999999509e-01
9.565000000000000748e-07 8.381300000000000416e-01
9.569999999999999006e-07 8.351199999999999735e-01
9.574999999999999381e-07 8.896300000000000319e-01
9.579999999999999757e-07 8.902799999999999603e-01
9.585000000000000133e-07 8.625399999999999734e-01
9.589999999999998391e-07 8.372199999999999642e-01
9.594999999999998766e-07 8.288200000000000012e-01
9.599999999999999142e-07 8.744899999999999896e-01
9.604999999999999518e-07 8.964900000000000091e-01
9.609999999999999893e-07 9.065299999999999470e-01
9.615000000000000269e-07 9.221899999999999542e-01
9.619999999999998527e-07 9.023099999999999454e-01
9.624999999999998903e-07 8.840900000000000425e-01
9.629999999999999278e-07 9.136699999999999822e-01
9.634999999999999654e-07 9.268399999999999972e-01
9.640000000000000030e-07 8.937199999999999589e-01
9.645000000000000405e-07 8.890900000000000469e-01
9.649999999999998663e-07 9.117399999999999949e-01
9.654999999999999039e-07 9.435299999999999798e-01
9.659999999999999415e-07 9.347499999999999698e-01
9.664999999999999790e-07 9.133900000000000352e-01
9.670000000000000166e-07 9.276900000000000146e-01
9.675000000000000542e-07 9.560300000000000464e-01
9.679999999999998800e-07 9.646099999999999675e-01
9.684999999999999175e-07 9.633300000000000196e-01
9.689999999999999551e-07 9.784000000000000474e-01
9.694999999999999927e-07 9.815800000000000081e-01
9.700000000000000302e-07 9.727999999999999980e-01
9.705000000000000678e-07 9.688900000000000290e-01
9.709999999999998936e-07 9.778099999999999570e-01
9.714999999999999312e-07 9.735300000000000065e-01
9.719999999999999687e-07 9.694300000000000139e-01
9.725000000000000063e-07 9.682500000000000551e-01
9.729999999999998321e-07 9.669499999999999762e-01
9.735000000000000814e-07 9.562800000000000189e-01
9.739999999999999072e-07 9.446600000000000552e-01
9.744999999999999448e-07 9.475799999999999779e-01
9.749999999999999823e-07 9.489800000000000457e-01
9.755000000000000199e-07 9.466799999999999660e-01
9.759999999999998457e-07 9.434799999999999853e-01
9.765000000000000950e-07 9.522199999999999553e-01
9.769999999999999208e-07 9.717000000000000082e-01
9.774999999999999584e-07 9.791699999999999848e-01
9.779999999999999960e-07 9.697799999999999754e-01
9.785000000000000335e-07 9.649799999999999489e-01
9.789999999999998593e-07 9.680199999999999916e-01
9.794999999999998969e-07 9.641100000000000225e-01
9.799999999999999345e-07 9.663399999999999768e-01
9.804999999999999720e-07 9.711499999999999577e-01
9.810000000000000096e-07 9.850999999999999757e-01
